====================================================================================================
FILE: 中继无人机数据.xlsx
====================================================================================================
----- SHEET: 数据  dims=A1:S12  max_row=12 max_col=19 -----
中继机型参数 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
机型编号 | 机型名称 | 含能源组件空载总质量（kg） | 中继通信模块质量（kg） | 计划起飞总质量（kg） | 计划巡航速度（m/s） | 巡航功率（kW） | 能源组件可用能量（kWh） | 返航电量下限（%） | 工位固定准备时间（s） | 建链时间（s） | 架次周转时间（s） | 最大爬升速度（m/s） | 最大下降速度（m/s） | 爬升能耗效率 | 下降能耗效率 | 悬停功率（kW） | 通信附加功率（kW） | 最大悬停离地高度（m）
R | 中继标准测试多旋翼 | 21 | 2.5 | 23.5 | 15 | 1.15 | 3.2 | 20 | 180 | 30 | 300 | 4 | 3 | 0.72 | 0 | 1.05 | 0.05 | 300
逐架中继无人机清单 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
中继无人机编号 | 机型编号 | 初始位置 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R01 | R | O01 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R02 | R | O01 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
共享能源组件库存 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
机型编号 | 共享能源组件总数（组） | 等效完全充电时间（s） |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R | 6 | 1800 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
MERGED: A5:C5, A1:S1, A10:C10

====================================================================================================
FILE: 物资需求与配送时限.xlsx
====================================================================================================
----- SHEET: 数据  dims=A1:I54  max_row=54 max_col=9 -----
服务区编号 | 物资类型 | 总需求箱数 | 首批必须送达箱数 | 单箱质量（kg） | 单箱体积（m³） | 应急优先系数 | 首批截止时间（s） | 期望送达时间（s）
S001 | 医疗物资 | 2 | 1 | 3 | 0.012 | 24 | 3600 | 3600
S001 | 饮用水 | 8 | 1 | 14 | 0.027 | 12 | 3600 | 3600
S001 | 应急食品 | 3 | 0 | 8 | 0.028 | 10 |  | 7200
S001 | 生活卫生用品 | 2 | 0 | 6 | 0.035 | 8 |  | 10800
S002 | 医疗物资 | 1 | 1 | 3 | 0.012 | 24 | 3600 | 3600
S002 | 饮用水 | 4 | 1 | 14 | 0.027 | 12 | 3600 | 3600
S002 | 应急食品 | 2 | 0 | 8 | 0.028 | 10 |  | 7200
S002 | 生活卫生用品 | 1 | 0 | 6 | 0.035 | 8 |  | 10800
S003 | 医疗物资 | 1 | 1 | 3 | 0.012 | 20 | 7200 | 7200
S003 | 饮用水 | 4 | 1 | 14 | 0.027 | 10 | 7200 | 7200
S003 | 应急食品 | 2 | 0 | 8 | 0.028 | 8 |  | 10800
S003 | 生活卫生用品 | 1 | 0 | 6 | 0.035 | 6 |  | 14400
S004 | 医疗物资 | 1 | 1 | 3 | 0.012 | 20 | 7200 | 7200
S004 | 饮用水 | 3 | 1 | 14 | 0.027 | 10 | 7200 | 7200
S004 | 应急食品 | 1 | 0 | 8 | 0.028 | 8 |  | 10800
S004 | 生活卫生用品 | 1 | 0 | 6 | 0.035 | 6 |  | 14400
S005 | 医疗物资 | 1 | 1 | 3 | 0.012 | 16 | 10800 | 10800
S005 | 饮用水 | 3 | 1 | 14 | 0.027 | 8 | 10800 | 10800
S005 | 应急食品 | 1 | 0 | 8 | 0.028 | 6 |  | 14400
S005 | 生活卫生用品 | 1 | 0 | 6 | 0.035 | 4 |  | 18000
S006 | 医疗物资 | 1 | 1 | 3 | 0.012 | 24 | 3600 | 3600
S006 | 饮用水 | 3 | 1 | 14 | 0.027 | 12 | 3600 | 3600
S006 | 应急食品 | 1 | 0 | 8 | 0.028 | 10 |  | 7200
S006 | 生活卫生用品 | 1 | 0 | 6 | 0.035 | 8 |  | 10800
S007 | 医疗物资 | 1 | 1 | 3 | 0.012 | 24 | 3600 | 3600
S007 | 饮用水 | 2 | 1 | 14 | 0.027 | 12 | 3600 | 3600
S007 | 应急食品 | 1 | 0 | 8 | 0.028 | 10 |  | 7200
S007 | 生活卫生用品 | 1 | 0 | 6 | 0.035 | 8 |  | 10800
S008 | 医疗物资 | 1 | 1 | 3 | 0.012 | 20 | 7200 | 7200
S008 | 饮用水 | 2 | 1 | 14 | 0.027 | 10 | 7200 | 7200
