SHEET 数据 (21 x 6)
A1=调度中心
A2=调度中心编号 | B2=调度中心名称 | C2=经度（°） | D2=纬度（°） | E2=海拔（m）
A3=O01 | B3=凤丹村无人机调度中心 | C3=109.2308517 | D3=23.0085095 | E3=127.7
A5=服务区
A6=服务区编号 | B6=服务区名称 | C6=经度（°） | D6=纬度（°） | E6=海拔（m） | F6=本次需保障人口（人）
A7=S001 | B7=平旺、那龙、镇龙乡 | C7=109.2432319 | D7=23.0335927 | E7=154 | F7=2100
A8=S002 | B8=上良 | C8=109.2585519 | D8=23.0703271 | E8=189.5 | F8=330
A9=S003 | B9=六造、那旭、都长 | C9=109.1688578 | D9=23.0402714 | E9=308.5 | F9=275
A10=S004 | B10=大站 | C10=109.2381714 | D10=23.0778414 | E10=198.3 | F10=188
A11=S005 | B11=上良、古律、那麓 | C11=109.2283003 | D11=23.0561338 | E11=165 | F11=126
A12=S006 | B12=六昌、木路 | C12=109.1997836 | D12=23.007714 | E12=284.8 | F12=121
A13=S007 | B13=佛子、那桑、银坑 | C13=109.1928191 | D13=23.0294186 | E13=318.5 | F13=76
A14=S008 | B14=古麻、大站 | C14=109.2127472 | D14=23.0795113 | E14=240.9 | F14=55
A15=S009 | B15=那龙 | C15=109.2541424 | D15=23.0552989 | E15=200 | F15=45
A16=S010 | B16=镇龙乡 | C16=109.2760168 | D16=23.0194009 | E16=321.6 | F16=31
A17=S011 | B17=那从 | C17=109.2203356 | D17=23.0319231 | E17=182.1 | F17=30
A18=S012 | B18=镇龙乡 | C18=109.2831357 | D18=23.054464 | E18=249.8 | F18=16
A19=S013 | B19=镇龙乡 | C19=109.2713839 | D19=23.0310882 | E19=321.7 | F19=14
A20=S014 | B20=镇龙乡 | C20=109.2835966 | D20=23.0052097 | E20=321 | F20=12
A21=S015 | B21=六造、那托、那旭 | C21=109.1923786 | D21=23.0494548 | E21=444.5 | F21=3
