SHEET 数据 (22 x 18)
A1=三类机型参数
A2=机型编号 | B2=机型名称 | C2=含电池空载总质量（kg） | D2=最大载货质量（kg） | E2=可用装载体积（m³） | F2=计划巡航速度（m/s） | G2=空载标准航程（m） | H2=满载标准航程（m） | I2=电池可用能量（kWh） | J2=返航电量下限（%） | K2=工位固定准备时间（s） | L2=每箱装载时间（s） | M2=接收点基础交接时间（s） | N2=每箱增加交接时间（s） | O2=最大爬升速度（m/s） | P2=最大下降速度（m/s） | Q2=爬升能耗效率 | R2=下降能耗效率
A3=A | B3=中轻载标准测试多旋翼 | C3=70 | D3=25 | E3=0.06 | F3=12 | G3=25000 | H3=20000 | I3=4.5 | J3=20 | K3=300 | L3=30 | M3=150 | N3=30 | O3=3 | P3=2.5 | Q3=0.72 | R3=0
A4=B | B4=中载标准测试多旋翼 | C4=65 | D4=30 | E4=0.073 | F4=15 | G4=28000 | H4=16000 | I4=4 | J4=20 | K4=300 | L4=30 | M4=150 | N4=30 | O4=3 | P4=2.5 | Q4=0.72 | R4=0
A5=C | B5=重载标准测试多旋翼 | C5=69.9 | D5=80 | E5=0.25 | F5=15 | G5=26000 | H5=12000 | I5=8 | J5=20 | K5=300 | L5=30 | M5=180 | N5=36 | O5=2.5 | P5=2 | Q5=0.72 | R5=0
A7=逐架无人机清单
A8=无人机编号 | B8=机型编号 | C8=初始位置
A9=U01 | B9=A | C9=O01
A10=U02 | B10=A | C10=O01
A11=U03 | B11=A | C11=O01
A12=U04 | B12=A | C12=O01
A13=U05 | B13=B | C13=O01
A14=U06 | B14=B | C14=O01
A15=U07 | B15=C | C15=O01
A16=U08 | B16=C | C16=O01
A18=共享电池库存
A19=机型编号 | B19=共享电池组总数（组） | C19=等效完全充电时间（s）
A20=A | B20=6 | C20=1800
A21=B | B21=4 | C21=2400
A22=C | B22=4 | C22=3000
