SHEET 数据 (17 x 5)
A1=通信系统与端点参数
A2=参数类别 | B2=参数名称 | D2=符号 | E2=参数值
A3=传播参数 | B3=载波频率（MHz） | D3=f | E3=2400
A4=传播参数 | B4=系统损耗（dB） | D4=Lsys | E4=3
A5=传播参数 | B5=地形遮挡附加损耗（dB） | D5=Lobs | E5=10
A6=接收参数 | B6=接收灵敏度（dBm） | D6=Psens | E6=-98
A7=接收参数 | B7=衰落裕量（dB） | D7=M | E7=8
A8=运输无人机 | B8=发射功率（dBm） | D8=Pt | E8=20
A9=运输无人机 | B9=天线增益（dBi） | D9=G | E9=3
A10=中继接入端 | B10=发射功率（dBm） | D10=Pt | E10=20
A11=中继接入端 | B11=天线增益（dBi） | D11=G | E11=6
A12=中继回传端 | B12=发射功率（dBm） | D12=Pt | E12=19
A13=中继回传端 | B13=天线增益（dBi） | D13=G | E13=8
A14=固定网关 G01 | B14=发射功率（dBm） | D14=Pt | E14=27
A15=固定网关 G01 | B15=天线增益（dBi） | D15=G | E15=12
A16=固定网关 G01 | B16=天线离地高度（m） | D16=hG | E16=20
