cargo_id,mission_id,published_delivery,reference_delivery,hard_deadline,expected_deadline,hard_late,reference_hard_late,expected_late
S001-WAT-01,1,20.89825141136788,20.81496814597869,60.0,60.0,False,False,False
S001-WAT-02,1,20.89825141136788,20.81496814597869,,60.0,False,False,False
S001-WAT-03,1,20.89825141136788,20.81496814597869,,60.0,False,False,False
S001-WAT-04,1,20.89825141136788,20.81496814597869,,60.0,False,False,False
S001-WAT-05,1,20.89825141136788,20.81496814597869,,60.0,False,False,False
S001-MED-01,1,20.89825141136788,20.81496814597869,60.0,60.0,False,False,False
S001-MED-02,1,20.89825141136788,20.81496814597869,60.0,60.0,False,False,False
S002-WAT-01,2,23.70077832331209,23.71522297704338,60.0,60.0,False,False,False
S002-WAT-02,2,23.70077832331209,23.71522297704338,,60.0,False,False,False
S002-WAT-03,2,23.70077832331209,23.71522297704338,,60.0,False,False,False
S002-WAT-04,2,23.70077832331209,23.71522297704338,,60.0,False,False,False
S002-MED-01,2,23.70077832331209,23.71522297704338,60.0,60.0,False,False,False
S001-WAT-06,3,42.68858756743695,42.60530430204777,,60.0,False,False,False
S001-WAT-07,3,42.68858756743695,42.60530430204777,,60.0,False,False,False
S001-WAT-08,3,42.68858756743695,42.60530430204777,,60.0,False,False,False
S006-WAT-01,4,15.56128209955562,15.584513751054672,60.0,60.0,False,False,False
S006-MED-01,4,15.56128209955562,15.584513751054672,60.0,60.0,False,False,False
S007-WAT-01,5,17.67022540924516,17.76225173460316,60.0,60.0,False,False,False
S007-WAT-02,5,17.67022540924516,17.76225173460316,,60.0,False,False,False
S010-WAT-01,6,17.01750341526321,17.080372437175946,60.0,60.0,False,False,False
S010-MED-01,6,17.01750341526321,17.080372437175946,60.0,60.0,False,False,False
S013-WAT-01,7,18.04073685958943,18.059083821427123,60.0,60.0,False,False,False
S013-MED-01,7,18.04073685958943,18.059083821427123,60.0,60.0,False,False,False
S012-WAT-01,8,22.2385339731365,22.252289023625185,60.0,60.0,False,False,False
S012-MED-01,8,22.2385339731365,22.252289023625185,60.0,120.0,False,False,False
S014-WAT-01,9,21.21667202957535,21.200620322529055,60.0,60.0,False,False,False
S014-MED-01,9,21.21667202957535,21.200620322529055,60.0,120.0,False,False,False
S006-WAT-02,10,36.39173518755575,36.4149668390548,,60.0,False,False,False
S006-WAT-03,11,41.39164470762339,41.41487635912243,,60.0,False,False,False
S007-MED-01,12,41.45401001754935,41.54603634290736,60.0,60.0,False,False,False
S003-WAT-01,13,60.30281060642601,60.37730265377151,120.0,120.0,False,False,False
S003-WAT-02,13,60.30281060642601,60.37730265377151,,120.0,False,False,False
S003-WAT-03,13,60.30281060642601,60.37730265377151,,120.0,False,False,False
S003-WAT-04,13,60.30281060642601,60.37730265377151,,120.0,False,False,False
S003-MED-01,13,60.30281060642601,60.37730265377151,120.0,120.0,False,False,False
S008-WAT-01,14,74.37264188394303,74.42519551230585,120.0,120.0,False,False,False
S008-WAT-02,14,74.37264188394303,74.42519551230585,,120.0,False,False,False
S008-MED-01,14,74.37264188394303,74.42519551230585,120.0,120.0,False,False,False
S004-WAT-01,15,46.90339077726461,46.82798700916712,120.0,120.0,False,False,False
S004-WAT-02,15,46.90339077726461,46.82798700916712,,120.0,False,False,False
S004-WAT-03,16,70.6871753855688,70.6117716174713,,120.0,False,False,False
S004-MED-01,16,70.6871753855688,70.6117716174713,120.0,120.0,False,False,False
S001-FOD-01,17,50.71669070780122,50.648830269335875,,120.0,False,False,False
S001-FOD-02,17,50.71669070780122,50.648830269335875,,120.0,False,False,False
S002-FOD-01,18,64.46562709535644,64.4773968132114,,120.0,False,False,False
S002-FOD-02,18,64.46562709535644,64.4773968132114,,120.0,False,False,False
S015-MED-01,19,70.96116026223557,70.99756700720485,120.0,120.0,False,False,False
S001-FOD-03,20,69.60221348982112,69.5343530513558,,120.0,False,False,False
S006-FOD-01,21,71.06436833453876,71.08759998603782,,120.0,False,False,False
S007-FOD-01,22,93.31822932502776,93.41025565038561,,120.0,False,False,False
S010-FOD-01,23,93.83079460541157,93.89366362732451,,120.0,False,False,False
S012-FOD-01,24,77.51618711413991,77.52994216462874,,120.0,False,False,False
S013-FOD-01,25,105.6460815578028,105.66442851964052,,120.0,False,False,False
S014-FOD-01,26,100.8302013682233,100.81414966117711,,120.0,False,False,False
S005-WAT-01,27,94.03834924059366,94.1133532381927,180.0,180.0,False,False,False
S005-WAT-02,27,94.03834924059366,94.1133532381927,,180.0,False,False,False
S005-WAT-03,27,94.03834924059366,94.1133532381927,,180.0,False,False,False
S005-MED-01,27,94.03834924059366,94.1133532381927,180.0,180.0,False,False,False
S009-WAT-01,28,109.5644123167441,109.5888645469497,180.0,180.0,False,False,False
S009-MED-01,28,109.5644123167441,109.5888645469497,180.0,180.0,False,False,False
S011-WAT-01,29,117.757095110785,117.82365627273086,180.0,180.0,False,False,False
S011-MED-01,29,117.757095110785,117.82365627273086,180.0,180.0,False,False,False
S001-HYG-01,30,102.7414926041643,102.67363216569899,,180.0,False,False,False
S001-HYG-02,30,102.7414926041643,102.67363216569899,,180.0,False,False,False
S003-FOD-01,31,130.8178553859717,130.8785526097348,,180.0,False,False,False
S003-FOD-02,31,130.8178553859717,130.8785526097348,,180.0,False,False,False
S002-HYG-01,32,123.4115044774644,123.42327419531942,,180.0,False,False,False
S004-FOD-01,33,107.0726497510757,106.98010876295618,,180.0,False,False,False
S006-HYG-01,34,133.4338105602324,133.45704221173148,,180.0,False,False,False
S007-HYG-01,35,129.797838769108,129.91078016841112,,180.0,False,False,False
S008-FOD-01,36,133.229633056203,133.27245453116524,,180.0,False,False,False
S015-WAT-01,37,141.4875062070714,141.53218721226108,180.0,180.0,False,False,False
S003-HYG-01,38,141.3674140772245,141.4281113009876,,240.0,False,False,False
S004-HYG-01,39,160.033149453506,159.94060846538642,,240.0,False,False,False
S005-FOD-01,40,148.1361620762771,148.1972764446911,,240.0,False,False,False
S008-HYG-01,41,162.4696430202075,162.51246449516975,,240.0,False,False,False
S009-FOD-01,42,153.9749100586583,153.99936228886392,,240.0,False,False,False
S011-FOD-01,43,166.8837186611424,166.96540735989427,,240.0,False,False,False
S015-FOD-01,44,162.6661404833473,162.7025472283167,,240.0,False,False,False
S005-HYG-01,45,157.4857958302777,157.5469101986916,,300.0,False,False,False
