area_id,points,direct_ok_points,any_relay_or_direct_ok_points,interrupt_points,assigned_modes,exact_cruise_m,code_comm_cruise_m,code_delivery_alt_m,required_delivery_alt_m,R01_ok_points,R02_ok_points,R01_min_margin_db,R02_min_margin_db
S001,334,334,334,0,direct,273.0566101074219,272.88896414127305,204.0,184.0,334,334,-4.79607336122146,-9.273068380353209
S002,775,416,775,0,R02,308.9542541503906,261.943816784,239.5,219.5,692,775,-4.79607336122146,-9.273068380353209
S003,797,439,796,1,R01,561.8041381835938,494.01902623517867,358.5,338.5,796,439,-6.321520172964512,-14.915975050088804
S004,823,591,821,2,R02,398.2391662597656,385.86162041985386,248.3,228.3,819,821,-9.891803318206073,-9.505668947206033
S005,568,417,568,0,R01,326.410888671875,301.64474385016257,215.0,195.0,568,563,-4.79607336122146,-9.273068380353209
S006,352,352,352,0,direct,366.09783935546875,343.3445466356979,334.8,314.8,352,352,-4.79607336122146,-9.273068380353209
S007,513,435,513,0,R01,511.9731750488281,489.81640833769006,368.5,348.5,513,435,-4.79607336122146,-12.790971394338499
S008,850,464,847,3,R01,372.9093322753906,360.1252021629848,290.9,270.9,847,572,-8.918727016489271,-12.116044161240765
S009,600,414,600,0,R02,293.2289123535156,290.85367104487705,250.0,230.0,600,600,-4.79607336122146,-9.273068380353209
S010,521,427,521,0,R02,435.63653564453125,414.0669788171675,371.6,351.6,427,521,-11.127541799774718,-9.273068380353209
S011,311,311,311,0,direct,295.36175537109375,254.7065859438678,232.1,212.1,311,311,-4.79607336122146,-9.273068380353209
S012,786,425,786,0,R02,413.3009948730469,397.41270627939997,299.8,279.8,548,786,-12.3605957783831,-9.273068380353209
S013,521,424,521,0,R02,399.18182373046875,373.8427445446863,371.7,351.7,480,521,-4.79607336122146,-9.273068380353209
S014,617,442,615,2,R02,591.9473876953125,582.582843599946,371.0,351.0,442,615,-12.426060023536678,-9.273068380353209
S015,660,440,660,0,R01,571.7992553710938,547.6324923832568,494.5,474.5,660,440,-4.79607336122146,-12.864699456727152
