cargo_id,batch,delivery_min,hard_deadline_min,stale_on_time
S002-WAT-01,G2,131.3777200393997,60.0,True
S002-MED-01,G2,131.3777200393997,60.0,True
S007-WAT-01,G2,125.3471671253328,60.0,True
S010-WAT-01,G2,124.6944451313508,60.0,True
S010-MED-01,G2,124.6944451313508,60.0,True
S013-WAT-01,G2,125.717678575677,60.0,True
S013-MED-01,G2,125.717678575677,60.0,True
S012-WAT-01,G2,129.9154756892241,60.0,True
S012-MED-01,G2,129.9154756892241,60.0,True
S014-WAT-01,G2,128.8936137456629,60.0,True
S014-MED-01,G2,128.8936137456629,60.0,True
S007-MED-01,G2,149.1309517336369,60.0,True
S003-WAT-01,G2,167.9797523225136,120.0,True
S003-MED-01,G2,167.9797523225136,120.0,True
S008-WAT-01,G2,182.0495836000306,120.0,True
S008-MED-01,G2,182.0495836000306,120.0,True
S004-WAT-01,G2,154.5803324933522,120.0,True
S004-MED-01,G2,178.3641171016564,120.0,True
S015-MED-01,G2,178.6381019783232,120.0,True
S005-WAT-01,G2,201.7152909566813,180.0,True
S005-MED-01,G2,201.7152909566813,180.0,True
S009-WAT-01,G2,217.2413540328317,180.0,True
S009-MED-01,G2,217.2413540328317,180.0,True
S015-WAT-01,G2,249.164447923159,180.0,True
S006-WAT-01,G3,296.8770060705454,60.0,True
S006-MED-01,G3,296.8770060705454,60.0,True
S011-WAT-01,G3,399.0728190817748,180.0,True
S011-MED-01,G3,399.0728190817748,180.0,True
