SHEET Sheet1 (46 x 20)
A1=mission_id | B1=uav_id | C1=uav_type | D1=battery_id | E1=area_id | F1=cargo_ids | G1=start_min | H1=delivery_min | I1=end_min | J1=deadline_min | K1=on_time | L1=energy_kwh | M1=soc_after | N1=charge_min | O1=cargo_count | P1=original_start_min | Q1=original_delivery_min | R1=original_end_min | S1=communication_mode | T1=communication_available
A2=1 | B2=UC01 | C2=C | D2=C-BAT-01 | E2=S001 | F2=S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05,S001-MED-01,S001-MED-02 | G2=0 | H2=20.89825141136788 | I2=26.19033615606908 | J2=60 | K2=True | L2=2.558913341842037 | M2=0.6801358322697454 | N2=25.43953939025919 | O2=7 | P2=0 | Q2=20.89825141136788 | R2=26.19033615606908 | S2=direct | T2=True
A3=2 | B3=UC02 | C3=C | D3=C-BAT-02 | E3=S002 | F3=S002-WAT-01,S002-WAT-02,S002-WAT-03,S002-WAT-04,S002-MED-01 | G3=9.905674851548365 | H3=33.60645317486046 | I3=43.96023149817256 | J3=60 | K3=True | L3=5.151810515822099 | M3=0.3560236855222376 | N3=37.14358913391919 | O3=5 | P3=0 | Q3=23.70077832331209 | R3=34.05455664662419 | S3=R02 | T3=True
A4=3 | B4=UC01 | C4=C | D4=C-BAT-03 | E4=S001 | F4=S001-WAT-06,S001-WAT-07,S001-WAT-08 | G4=26.19033615606908 | H4=42.68858756743695 | I4=47.98067231213816 | J4=60 | K4=True | L4=2.066398756230736 | M4=0.741700155471158 | N4=23.21638327465262 | O4=3 | P4=26.19033615606908 | Q4=42.68858756743695 | R4=47.98067231213816 | S4=direct | T4=True
A5=4 | B5=UA01 | C5=A | D5=A-BAT-01 | E5=S006 | F5=S006-WAT-01,S006-MED-01 | G5=0 | H5=15.56128209955562 | I5=21.83045308800013 | J5=60 | K5=True | L5=1.106805665390136 | M5=0.7540431854688587 | N5=13.66239764817473 | O5=2 | P5=0 | Q5=15.56128209955562 | R5=21.83045308800013 | S5=direct | T5=True
A6=5 | B6=UB01 | C6=B | D6=B-BAT-01 | E6=S007 | F6=S007-WAT-01,S007-WAT-02 | G6=7.323532094892318 | H6=24.99375750413748 | I6=33.40931624671596 | J6=60 | K6=True | L6=1.60089897336792 | M6=0.5997752566580201 | N6=22.67315925210164 | O6=2 | P6=0 | Q6=17.67022540924516 | R6=26.08578415182364 | S6=R01 | T6=True
A7=6 | B7=UB02 | C7=B | D7=B-BAT-02 | E7=S010 | F7=S010-WAT-01,S010-MED-01 | G7=9.905674851548365 | H7=26.92317826681158 | I7=34.68945945985256 | J7=60 | K7=True | L7=1.424415898434041 | M7=0.6438960253914898 | N7=21.39855926646807 | O7=2 | P7=0 | Q7=17.01750341526321 | R7=24.7837846083042 | S7=R02 | T7=True
A8=7 | B8=UA02 | C8=A | D8=A-BAT-02 | E8=S013 | F8=S013-WAT-01,S013-MED-01 | G8=9.905674851548365 | H8=27.9464117111378 | I8=36.73603745961613 | J8=60 | K8=True | L8=1.637365079674389 | M8=0.6361410934056912 | N8=16.21694297621002 | O8=2 | P8=0 | Q8=18.04073685958943 | R8=26.83036260806776 | S8=R02 | T8=True
A9=8 | B9=UA03 | C9=A | D9=A-BAT-03 | E9=S012 | F9=S012-WAT-01,S012-MED-01 | G9=9.905674851548365 | H9=32.14420882468487 | I9=45.05174279782136 | J9=60 | K9=True | L9=2.471325003399136 | M9=0.4508166659113031 | N9=20.23230557192176 | O9=2 | P9=0 | Q9=22.2385339731365 | R9=35.146067946273 | S9=R02 | T9=True
A10=9 | B10=UA04 | C10=A | D10=A-BAT-04 | E10=S014 | F10=S014-WAT-01,S014-MED-01 | G10=9.905674851548365 | H10=31.12234688112371 | I10=43.0871300218102 | J10=60 | K10=True | L10=1.974536954059142 | M10=0.5612140102090795 | N10=17.84036311213661 | O10=2 | P10=0 | Q10=21.21667202957535 | R10=33.18145517026183 | S10=R02 | T10=True
A11=10 | B11=UA01 | C11=A | D11=A-BAT-05 | E11=S006 | F11=S006-WAT-02 | G11=21.83045308800013 | H11=36.39173518755575 | I11=42.66090617600025 | J11=60 | K11=True | L11=1.092476706316119 | M11=0.757227398596418 | N11=13.59340636374428 | O11=1 | P11=21.83045308800013 | Q11=36.39173518755575 | R11=42.66090617600025 | S11=direct | T11=True
A12=11 | B12=UA02 | C12=A | D12=A-BAT-06 | E12=S006 | F12=S006-WAT-03 | G12=36.73603745961613 | H12=51.29731955917176 | I12=57.56649054761626 | J12=60 | K12=True | L12=1.092476706316119 | M12=0.757227398596418 | N12=13.59340636374428 | O12=1 | P12=26.83036260806776 | Q12=41.39164470762339 | R12=47.66081569606789 | S12=direct | T12=True
A13=12 | B13=UB01 | C13=B | D13=B-BAT-03 | E13=S007 | F13=S007-MED-01 | G13=33.40931624671596 | H13=50.07954165596111 | I13=58.49510039853959 | J13=60 | K13=True | L13=1.278665737006417 | M13=0.6803335657483958 | N13=20.34591921171301 | O13=1 | P13=24.7837846083042 | Q13=41.45401001754935 | R13=49.86956876012783 | S13=R01 | T13=True
A14=13 | B14=UC02 | C14=C | D14=C-BAT-04 | E14=S003 | F14=S003-WAT-01,S003-WAT-02,S003-WAT-03,S003-WAT-04,S003-MED-01 | G14=43.96023149817256 | H14=70.20848545797438 | I14=83.30807275110952 | J14=120 | K14=True | L14=5.440500810633867 | M14=0.3199373986707666 | N14=38.44670504800009 | O14=5 | P14=34.05455664662419 | Q14=60.30281060642601 | R14=73.40239789956115 | S14=R01 | T14=True
A15=14 | B15=UC01 | C15=C | D15=C-BAT-01 | E15=S008 | F15=S008-WAT-01,S008-WAT-02,S008-MED-01 | G15=51.62987554632826 | H15=74.37264188394303 | I15=86.05407488822445 | J15=120 | K15=True | L15=4.880456740806956 | M15=0.3899429073991305 | N15=35.91872834392029 | O15=3 | P15=51.62987554632827 | Q15=74.37264188394303 | R15=86.05407488822445 | S15=R01 | T15=True
A16=15 | B16=UB02 | C16=B | D16=B-BAT-04 | E16=S004 | F16=S004-WAT-01,S004-WAT-02 | G16=34.68945945985256 | H16=55.50706608529354 | I16=66.93645048851229 | J16=120 | K16=True | L16=2.546881484042609 | M16=0.3632796289893477 | N16=29.50525516252995 | O16=2 | P16=26.08578415182364 | Q16=46.90339077726461 | R16=58.33277518048336 | S16=R02 | T16=True
A17=16 | B17=UB01 | C17=B | D17=B-BAT-01 | E17=S004 | F17=S004-WAT-03,S004-MED-01 | G17=58.49510039853959 | H17=79.31270702398058 | I17=90.74209142719931 | J17=120 | K17=True | L17=2.240674227365981 | M17=0.4398314431585046 | N17=27.29375830875431 | O17=2 | P17=49.86956876012783 | Q17=70.6871753855688 | R17=82.11655978878755 | S17=R02 | T17=True
A18=17 | B18=UA01 | C18=A | D18=A-BAT-01 | E18=S001 | F18=S001-FOD-01,S001-FOD-02 | G18=42.66090617600025 | H18=57.88474614762662 | I18=63.67114167480854 | J18=120 | K18=True | L18=1.048835444247772 | M18=0.7669254568338284 | N18=13.38328176860038 | O18=2 | P18=35.49285073617485 | Q18=50.71669070780122 | R18=56.50308623498314 | S18=direct | T18=True
A19=18 | B19=UA04 | C19=A | D19=A-BAT-02 | E19=S002 | F19=S002-FOD-01,S002-FOD-02 | G19=52.95298043582615 | H19=74.37130194690481 | I19=86.39162345798346 | J19=120 | K19=True | L19=2.409990591769786 | M19=0.4644465351622699 | N19=19.93699173815082 | O19=2 | P19=43.04730558427778 | Q19=64.46562709535644 | R19=76.48594860643509 | S19=R02 | T19=True
A20=19 | B20=UA03 | C20=A | D20=A-BAT-05 | E20=S015 | F20=S015-MED-01 | G20=56.25431253974453 | H20=76.19365451958166 | I20=88.0183298327521 | J20=120 | K20=True | L20=1.976874086653691 | M20=0.5606946474102907 | N20=17.85161597277703 | O20=1 | P20=51.02181828239844 | Q20=70.96116026223557 | R20=82.78583557540601 | S20=R01 | T20=True
A21=20 | B21=UA02 | C21=A | D21=A-BAT-04 | E21=S001 | F21=S001-FOD-03 | G21=60.92749313394681 | H21=75.15133310557317 | I21=80.93772863275511 | J21=120 | K21=True | L21=1.014245103020607 | M21=0.7746121993287539 | N21=13.21673568121033 | O21=1 | P21=55.37837351819476 | Q21=69.60221348982112 | R21=75.38860901700306 | S21=direct | T21=True
A22=21 | B22=UA01 | C22=A | D22=A-BAT-03 | E22=S006 | F22=S006-FOD-01 | G22=65.28404836974312 | H22=79.84533046929874 | I22=86.11450145774324 | J22=120 | K22=True | L22=1.066023243410243 | M22=0.7631059459088348 | N22=13.46603783864191 | O22=1 | P22=56.50308623498314 | Q22=71.06436833453876 | R22=77.33353932298327 | S22=direct | T22=True
A23=22 | B23=UA02 | C23=A | D23=A-BAT-06 | E23=S007 | F23=S007-FOD-01 | G23=80.93772863275511 | H23=98.8673489407798 | I23=108.5423025821379 | J23=120 | K23=True | L23=1.571297495086422 | M23=0.6508227788696839 | N23=15.89883979115685 | O23=1 | P23=75.38860901700306 | Q23=93.31822932502776 | R23=102.9931829663858 | S23=R01 | T23=True
A24=23 | B24=UA01 | C24=A | D24=A-BAT-01 | E24=S010 | F24=S010-FOD-01 | G24=86.11450145774324 | H24=103.4593474567197 | I24=112.552971233474 | J24=120 | K24=True | L24=1.581530554767664 | M24=0.6485487656071858 | N24=15.94811007851097 | O24=1 | P24=76.48594860643509 | Q24=93.83079460541157 | R24=102.9244183821658 | S24=R02 | T24=True
A25=24 | B25=UB02 | C25=B | D25=B-BAT-02 | E25=S012 | F25=S012-FOD-01 | G25=66.93645048851229 | H25=86.11986242216884 | I25=96.97227435582539 | J25=120 | K25=True | L25=1.971677737898548 | M25=0.5070805655253631 | N25=25.35100588482284 | O25=1 | P25=58.33277518048336 | Q25=77.51618711413991 | R25=88.36859904779647 | S25=R02 | T25=True
A26=25 | B26=UA04 | C26=A | D26=A-BAT-04 | E26=S013 | F26=S013-FOD-01 | G26=94.15446431396543 | H26=111.1952011735548 | I26=119.9848269220332 | J26=120 | K26=True | L26=1.575202255282084 | M26=0.6499550543817592 | N26=15.91764048839522 | O26=1 | P26=88.6053446982134 | Q26=105.6460815578028 | R26=114.4357073062812 | S26=R02 | T26=True
A27=26 | B27=UB01 | C27=B | D27=B-BAT-03 | E27=S014 | F27=S014-FOD-01 | G27=90.74209142719931 | H27=109.4557330066351 | I27=119.9174856971819 | J27=120 | K27=True | L27=1.607789512414177 | M27=0.5980526218964557 | N27=22.72292425632461 | O27=1 | P27=82.11655978878755 | Q27=100.8302013682233 | R27=111.2919540587701 | S27=R02 | T27=True
