case,mission_id,area_id,uav_type,weight_kg,max_weight_kg,volume_m3,max_volume_m3,load_ok,volume_ok,same_code_energy_error
ALNS交付,1,S013,B,17.0,30.0,0.039,0.073,True,True,0.0
ALNS交付,2,S001,C,76.0,80.0,0.15900000000000003,0.25,True,True,0.0
ALNS交付,3,S012,B,17.0,30.0,0.039,0.073,True,True,0.0
ALNS交付,4,S001,C,42.0,80.0,0.081,0.25,True,True,4.440892098500626e-16
ALNS交付,5,S010,B,17.0,30.0,0.039,0.073,True,True,2.220446049250313e-16
ALNS交付,6,S007,A,14.0,25.0,0.027,0.06,True,True,0.0
ALNS交付,7,S014,B,17.0,30.0,0.039,0.073,True,True,4.440892098500626e-16
ALNS交付,8,S002,C,59.0,80.0,0.12,0.25,True,True,0.0
ALNS交付,9,S007,A,17.0,25.0,0.039,0.06,True,True,2.220446049250313e-16
ALNS交付,10,S006,C,45.0,80.0,0.093,0.25,True,True,0.0
ALNS交付,11,S002,B,16.0,30.0,0.056,0.073,True,True,4.440892098500626e-16
ALNS交付,12,S013,A,8.0,25.0,0.028,0.06,True,True,2.220446049250313e-16
ALNS交付,13,S006,B,8.0,30.0,0.028,0.073,True,True,0.0
ALNS交付,14,S003,C,59.0,80.0,0.12,0.25,True,True,0.0
ALNS交付,15,S004,C,45.0,80.0,0.093,0.25,True,True,8.881784197001252e-16
ALNS交付,16,S008,A,14.0,25.0,0.027,0.06,True,True,0.0
ALNS交付,17,S007,A,8.0,25.0,0.028,0.06,True,True,2.220446049250313e-16
ALNS交付,18,S008,A,17.0,25.0,0.039,0.06,True,True,4.440892098500626e-16
ALNS交付,19,S012,A,8.0,25.0,0.028,0.06,True,True,0.0
ALNS交付,20,S001,B,8.0,30.0,0.028,0.073,True,True,0.0
ALNS交付,21,S010,A,8.0,25.0,0.028,0.06,True,True,4.440892098500626e-16
ALNS交付,22,S001,B,16.0,30.0,0.056,0.073,True,True,0.0
ALNS交付,23,S014,A,8.0,25.0,0.028,0.06,True,True,4.440892098500626e-16
ALNS交付,24,S015,A,3.0,25.0,0.012,0.06,True,True,4.440892098500626e-16
ALNS交付,25,S005,C,45.0,80.0,0.093,0.25,True,True,4.440892098500626e-16
ALNS交付,26,S004,C,8.0,80.0,0.028,0.25,True,True,0.0
ALNS交付,27,S008,A,8.0,25.0,0.028,0.06,True,True,0.0
ALNS交付,28,S006,B,6.0,30.0,0.035,0.073,True,True,0.0
ALNS交付,29,S011,B,17.0,30.0,0.039,0.073,True,True,0.0
ALNS交付,30,S002,A,6.0,25.0,0.035,0.06,True,True,0.0
ALNS交付,31,S007,A,6.0,25.0,0.035,0.06,True,True,2.220446049250313e-16
ALNS交付,32,S015,A,14.0,25.0,0.027,0.06,True,True,4.440892098500626e-16
ALNS交付,33,S001,B,12.0,30.0,0.07,0.073,True,True,0.0
ALNS交付,34,S009,A,17.0,25.0,0.039,0.06,True,True,2.220446049250313e-16
ALNS交付,35,S003,A,16.0,25.0,0.056,0.06,True,True,4.440892098500626e-16
ALNS交付,36,S003,C,6.0,80.0,0.035,0.25,True,True,0.0
ALNS交付,37,S011,B,8.0,30.0,0.028,0.073,True,True,0.0
ALNS交付,38,S009,B,8.0,30.0,0.028,0.073,True,True,0.0
ALNS交付,39,S015,C,8.0,80.0,0.028,0.25,True,True,4.440892098500626e-16
ALNS交付,40,S004,A,6.0,25.0,0.035,0.06,True,True,0.0
ALNS交付,41,S008,A,6.0,25.0,0.035,0.06,True,True,0.0
ALNS交付,42,S005,A,8.0,25.0,0.028,0.06,True,True,2.220446049250313e-16
ALNS交付,43,S005,B,6.0,30.0,0.035,0.073,True,True,4.440892098500626e-16
Q3复现,1,S001,A,76.0,25.0,0.15900000000000003,0.06,False,False,2.220446049250313e-16
Q3复现,2,S001,B,42.0,30.0,0.081,0.073,False,False,0.0
Q3复现,3,S002,C,59.0,80.0,0.12,0.25,True,True,0.0
Q3复现,4,S006,C,45.0,80.0,0.093,0.25,True,True,0.0
Q3复现,5,S007,C,17.0,80.0,0.039,0.25,True,True,0.0
Q3复现,6,S007,A,14.0,25.0,0.027,0.06,True,True,0.0
Q3复现,7,S010,B,17.0,30.0,0.039,0.073,True,True,2.220446049250313e-16
Q3复现,8,S012,A,17.0,25.0,0.039,0.06,True,True,4.440892098500626e-16
Q3复现,9,S013,B,17.0,30.0,0.039,0.073,True,True,0.0
Q3复现,10,S014,B,17.0,30.0,0.039,0.073,True,True,4.440892098500626e-16
Q3复现,11,S003,C,59.0,80.0,0.12,0.25,True,True,0.0
Q3复现,12,S004,C,45.0,80.0,0.093,0.25,True,True,8.881784197001252e-16
Q3复现,13,S008,A,17.0,25.0,0.039,0.06,True,True,4.440892098500626e-16
Q3复现,14,S008,A,14.0,25.0,0.027,0.06,True,True,0.0
Q3复现,15,S001,B,16.0,30.0,0.056,0.073,True,True,0.0
Q3复现,16,S001,B,8.0,30.0,0.028,0.073,True,True,0.0
Q3复现,17,S002,B,16.0,30.0,0.056,0.073,True,True,4.440892098500626e-16
Q3复现,18,S006,B,8.0,30.0,0.028,0.073,True,True,0.0
Q3复现,19,S007,A,8.0,25.0,0.028,0.06,True,True,2.220446049250313e-16
Q3复现,20,S010,A,8.0,25.0,0.028,0.06,True,True,4.440892098500626e-16
Q3复现,21,S012,A,8.0,25.0,0.028,0.06,True,True,0.0
Q3复现,22,S013,A,8.0,25.0,0.028,0.06,True,True,2.220446049250313e-16
Q3复现,23,S014,A,8.0,25.0,0.028,0.06,True,True,4.440892098500626e-16
Q3复现,24,S015,A,3.0,25.0,0.012,0.06,True,True,4.440892098500626e-16
Q3复现,25,S005,C,45.0,80.0,0.093,0.25,True,True,4.440892098500626e-16
Q3复现,26,S009,A,17.0,25.0,0.039,0.06,True,True,2.220446049250313e-16
Q3复现,27,S011,B,17.0,30.0,0.039,0.073,True,True,0.0
Q3复现,28,S003,A,16.0,25.0,0.056,0.06,True,True,4.440892098500626e-16
Q3复现,29,S015,A,14.0,25.0,0.027,0.06,True,True,4.440892098500626e-16
Q3复现,30,S001,B,12.0,30.0,0.07,0.073,True,True,0.0
Q3复现,31,S004,C,8.0,80.0,0.028,0.25,True,True,0.0
Q3复现,32,S008,A,8.0,25.0,0.028,0.06,True,True,0.0
Q3复现,33,S002,A,6.0,25.0,0.035,0.06,True,True,0.0
Q3复现,34,S006,B,6.0,30.0,0.035,0.073,True,True,0.0
Q3复现,35,S007,A,6.0,25.0,0.035,0.06,True,True,2.220446049250313e-16
Q3复现,36,S005,A,8.0,25.0,0.028,0.06,True,True,2.220446049250313e-16
Q3复现,37,S009,B,8.0,30.0,0.028,0.073,True,True,0.0
Q3复现,38,S011,B,8.0,30.0,0.028,0.073,True,True,0.0
Q3复现,39,S015,C,8.0,80.0,0.028,0.25,True,True,4.440892098500626e-16
Q3复现,40,S003,C,6.0,80.0,0.035,0.25,True,True,0.0
Q3复现,41,S004,A,6.0,25.0,0.035,0.06,True,True,0.0
Q3复现,42,S008,A,6.0,25.0,0.035,0.06,True,True,0.0
Q3复现,43,S005,B,6.0,30.0,0.035,0.073,True,True,4.440892098500626e-16
