cargo_id,batch,delivery_min,hard_deadline_min,stale_on_time
S002-WAT-01,G2,148.6063566180406,60.0,True
S002-MED-01,G2,148.6063566180406,60.0,True
S006-WAT-01,G2,147.2283442176897,60.0,True
S006-MED-01,G2,147.2283442176897,60.0,True
S007-WAT-01,G2,122.0448624466842,60.0,True
S007-MED-01,G2,122.0448624466842,60.0,True
S010-WAT-01,G2,121.460088137636,60.0,True
S010-MED-01,G2,121.460088137636,60.0,True
S012-WAT-01,G2,125.353776111796,60.0,True
S012-MED-01,G2,125.353776111796,60.0,True
S013-WAT-01,G2,148.5944487739797,60.0,True
S013-MED-01,G2,148.5944487739797,60.0,True
S014-WAT-01,G2,151.9364881176176,60.0,True
S014-MED-01,G2,151.9364881176176,60.0,True
S003-WAT-01,G2,179.3111974337859,120.0,True
S003-MED-01,G2,179.3111974337859,120.0,True
S004-WAT-01,G2,183.2787098042041,120.0,True
S004-MED-01,G2,183.2787098042041,120.0,True
S008-WAT-01,G2,169.5594434638829,120.0,True
S008-MED-01,G2,169.5594434638829,120.0,True
S015-MED-01,G2,121.382610331109,120.0,True
S005-WAT-01,G2,216.7396754163045,180.0,True
S005-MED-01,G2,216.7396754163045,180.0,True
