SHEET Sheet1 (44 x 22)
A1=area_id | B1=uav_type | C1=cargo_ids | D1=cargo_count | E1=energy_kwh | F1=duration_min | G1=delivery_offset_min | H1=mission_id | I1=uav_id | J1=battery_id | K1=start_min | L1=delivery_min | M1=end_min | N1=deadline_min | O1=on_time | P1=soc_after | Q1=charge_min | R1=original_start_min | S1=original_delivery_min | T1=original_end_min | U1=communication_mode | V1=communication_available
A2=S001 | B2=B | C2=S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05,S001-MED-01,S001-MED-02 | D2=7 | E2=1.063798065282268 | F2=26.19033615606908 | G2=20.89825141136788 | H2=1 | I2=UB01 | J2=B-BAT-01 | K2=0 | L2=19.37289355636781 | M2=24.30834266829118 | N2=60 | O2=True | P2=0.734050483679433 | Q2=18.79409713814971 | R2=0 | S2=19.37289355636781 | T2=24.30834266829118 | U2=direct | V2=True
A3=S001 | B3=A | C3=S001-WAT-06,S001-WAT-07,S001-WAT-08 | D3=3 | E3=1.094364980888028 | F3=21.79033615606908 | G3=16.49825141136787 | H3=2 | I3=UA02 | J3=A-BAT-02 | K3=0 | L3=16.22383997162636 | M3=22.0102354988083 | N3=60 | O3=True | P3=0.7568077820248827 | Q3=13.60249805612754 | R3=0 | S3=16.22383997162636 | T3=22.0102354988083 | U3=direct | V3=True
A4=S002 | B4=C | C4=S002-WAT-01,S002-WAT-02,S002-WAT-03,S002-WAT-04,S002-MED-01 | D4=5 | E4=5.151810515822099 | F4=34.05455664662419 | G4=23.70077832331209 | H4=3 | I4=UC01 | J4=C-BAT-01 | K4=9.905674851548365 | L4=33.60645317486045 | M4=43.96023149817256 | N4=60 | O4=True | P4=0.3560236855222376 | Q4=37.14358913391919 | R4=9.905674851548365 | S4=33.60645317486045 | T4=43.96023149817256 | U4=R02 | V4=True
A5=S006 | B5=A | C5=S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-MED-01 | D5=4 | E5=1.149219384249224 | F5=23.75736517925555 | G5=17.92276592296111 | H5=4 | I5=UA01 | J5=A-BAT-01 | K5=0 | L5=17.56128209955562 | M5=23.83045308800013 | N5=60 | O5=True | P5=0.7446179146112837 | Q5=13.86661185008885 | R5=0 | S5=17.56128209955562 | T5=23.83045308800013 | U5=direct | V5=True
A6=S007 | B6=C | C6=S007-WAT-01,S007-MED-01 | D6=2 | E6=2.942684673827978 | F6=28.60457394938271 | G6=18.92962030802469 | H6=5 | I6=UC02 | J6=C-BAT-02 | K6=7.323532094892318 | L6=26.37226791643906 | M6=35.58900373798581 | N6=60 | O6=True | P6=0.6321644157715027 | Q6=27.17184054158462 | R6=7.323532094892318 | S6=26.37226791643906 | T6=35.58900373798581 | U6=R01 | V6=True
A7=S007 | B7=C | C7=S007-WAT-02 | D7=1 | E7=2.914590701024232 | F7=27.60457394938271 | G7=17.92962030802469 | H7=6 | I7=UC02 | J7=C-BAT-03 | K7=35.58900373798581 | L7=53.53773955953255 | M7=62.7544753810793 | N7=60 | O7=True | P7=0.635676162371971 | Q7=27.04502746990104 | R7=37.69706493808898 | S7=55.64580075963572 | T7=64.86253658118247 | U7=R01 | V7=True
A8=S010 | B8=A | C8=S010-WAT-01,S010-MED-01 | D8=2 | E8=1.642792520169815 | F8=27.43846977573074 | G8=18.34484599897648 | H8=7 | I8=UA03 | J8=A-BAT-03 | K8=9.905674851548365 | L8=28.25052085052485 | M8=37.34414462727911 | N8=60 | O8=True | P8=0.6349349955178188 | Q8=16.24307509711392 | R8=9.905674851548365 | S8=28.25052085052485 | T8=37.34414462727911 | U8=R02 | V8=True
A9=S012 | B9=A | C9=S012-WAT-01,S012-MED-01 | D9=2 | E9=2.471325003399136 | F9=35.146067946273 | G9=22.2385339731365 | H9=8 | I9=UA04 | J9=A-BAT-04 | K9=9.905674851548365 | L9=32.14420882468487 | M9=45.05174279782136 | N9=60 | O9=True | P9=0.4508166659113031 | Q9=20.23230557192176 | R9=9.905674851548365 | S9=32.14420882468487 | T9=45.05174279782136 | U9=R02 | V9=True
A10=S013 | B10=A | C10=S013-WAT-01,S013-MED-01 | D10=2 | E10=1.637365079674389 | F10=26.83036260806776 | G10=18.04073685958943 | H10=9 | I10=UA02 | J10=A-BAT-05 | K10=22.0102354988083 | L10=40.05097235839773 | M10=48.84059810687606 | N10=60 | O10=True | P10=0.6361410934056912 | Q10=16.21694297621002 | R10=22.0102354988083 | S10=40.05097235839773 | T10=48.84059810687606 | U10=R02 | V10=True
A11=S014 | B11=A | C11=S014-WAT-01,S014-MED-01 | D11=2 | E11=1.974536954059142 | F11=33.18145517026183 | G11=21.21667202957535 | H11=10 | I11=UA01 | J11=A-BAT-06 | K11=23.83045308800013 | L11=45.04712511757548 | M11=57.01190825826195 | N11=60 | O11=True | P11=0.5612140102090795 | Q11=17.84036311213661 | R11=23.83045308800013 | S11=45.04712511757548 | T11=57.01190825826195 | U11=R02 | V11=True
A12=S003 | B12=C | C12=S003-WAT-01,S003-WAT-02,S003-WAT-03,S003-WAT-04,S003-MED-01 | D12=5 | E12=5.440500810633867 | F12=39.34784125293697 | G12=26.24825395980182 | H12=11 | I12=UC01 | J12=C-BAT-04 | K12=43.96023149817256 | L12=70.20848545797438 | M12=83.30807275110953 | N12=120 | O12=True | P12=0.3199373986707666 | Q12=38.44670504800009 | R12=35.58900373798581 | S12=61.83725769778762 | T12=74.93684499092278 | U12=R01 | V12=True
A13=S004 | B13=C | C13=S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-MED-01 | D13=4 | E13=5.123157077575645 | F13=36.40481639236927 | G13=24.3185748628513 | H13=12 | I13=UC02 | J13=C-BAT-02 | K13=62.76084427957043 | L13=87.07941914242173 | M13=99.16566067193969 | N13=120 | O13=True | P13=0.3596053653030444 | Q13=37.01425069739005 | R13=43.96023149817256 | S13=68.27880636102387 | T13=80.36504789054183 | U13=R02 | V13=True
A14=S008 | B14=A | C14=S008-WAT-01,S008-MED-01 | D14=2 | E14=2.660432042052936 | F14=36.18442401586858 | G14=22.76265645237874 | H14=13 | I14=UA03 | J14=A-BAT-02 | K14=37.34414462727911 | L14=60.10680107965784 | M14=73.52856864314768 | N14=120 | O14=True | P14=0.408792879543792 | Q14=21.14282094321784 | R14=45.05174279782136 | S14=67.8143992502001 | T14=81.23616681368993 | U14=R01 | V14=True
